#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
      2.00      4.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      3.00      6.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      4.00      8.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      5.00     10.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      6.00     12.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      7.00     14.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      8.00     16.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      9.00     18.00      -nan      -nan      -nan      -nan      -nan      -nan      -nan
     10.00     20.00    -32.34     28.39      0.00     92.80     82.53     97.50     96.79
     11.00     22.00    -33.33     31.06      0.00     93.69     82.53    100.05     96.00
     12.00     24.00    -29.27     34.24      0.00     95.20     82.53     98.01     95.47
     13.00     26.00    -16.07     40.04      0.00     91.76     82.53     92.69     96.70
     14.00     28.00    -26.58     38.30      0.00     91.83     82.53     98.09     96.34
     15.00     30.00    -10.30     46.05      0.00     88.48     82.53     89.96     97.06
     16.00     32.00    -18.05     46.65      0.00     92.39     82.53     95.14     96.53
     17.00     34.00    -12.30     51.46      0.00     89.92     82.53     93.24     96.43
     18.00     36.00    -15.30     51.19      0.00     93.48     82.53     93.04     95.49
     19.00     38.00    -15.40     52.17      0.00     89.87     82.53     93.81     96.31
     20.00     40.00    -12.39     54.02      0.00     91.56     82.53     94.01     96.06
     21.00     42.00    -13.95     56.47      0.00     93.58     82.53     94.61     95.46
     22.00     44.00    -16.66     56.78      0.00     91.77     82.53     93.46     96.06
     23.00     46.00    -14.54     58.07      0.00     92.20     82.53     95.48     96.31
     24.00     48.00     -9.47     58.58      0.00     91.97     82.53     90.86     96.04
     25.00     50.00    -13.90     61.36      0.00     92.79     82.53     94.48     95.81
     26.00     52.00    -13.45     60.21      0.00     93.69     82.53     94.52     95.69
     27.00     54.00    -10.17     63.32      0.00     93.82     82.53     91.79     95.42
     28.00     56.00    -13.58     61.69      0.00     92.31     82.53     96.26     95.73
     29.00     58.00    -19.02     60.52      0.00     93.94     82.53    101.13     96.45
     30.00     60.00     -7.81     68.29      0.00     93.38     82.53     89.47     94.71
     31.00     62.00     -9.19     66.17      0.00     94.71     82.53     89.36     95.41
     32.00     64.00    -11.95     69.09      0.00     93.95     82.53     94.06     96.27
     33.00     66.00    -14.57     68.89      0.00     95.39     82.53     95.29     95.98
     34.00     68.00     -7.97     68.33      0.00     92.55     82.53     90.44     96.03
     35.00     70.00    -11.09     69.21      0.00     93.74     82.53     94.63     95.39
     36.00     72.00     -9.25     67.49      0.00     91.50     82.53     91.68     96.77
     37.00     74.00    -11.68     70.09      0.00     93.33     82.53     94.01     96.78
     38.00     76.00    -13.32     73.00      0.00     93.66     82.53     98.76     95.92
     39.00     78.00    -12.74     71.87      0.00     93.21     82.53     98.22     96.95
     40.00     80.00    -14.24     71.84      0.00     93.77     82.53     97.31     96.69
     41.00     82.00    -12.98     74.40      0.00     93.33     82.53     98.64     96.38
     42.00     84.00    -14.33     71.24      0.00     92.48     82.53     98.27     96.58
     43.00     86.00    -16.79     72.04      0.00     92.17     82.53     99.78     96.83
     44.00     88.00    -16.03     70.15      0.00     92.77     82.53     98.16     97.12
     45.00     90.00    -15.28     73.17      0.00     93.48     82.53    100.27     97.04
     46.00     92.00    -11.41     76.07      0.00     94.31     82.53     92.70     96.15
     47.00     94.00     -9.99     75.65      0.00     92.67     82.53     89.45     96.06
     48.00     96.00    -11.51     76.28      0.00     94.29     82.53     92.82     95.71
     49.00     98.00     -3.44     76.98      0.00     93.87     82.53     83.25     95.15
     50.00    100.00    -11.68     76.57      0.00     93.48     82.53     94.22     96.34
     51.00    102.00    -11.31     79.44      0.00     94.00     82.53     93.20     97.00
     52.00    104.00    -12.04     77.89      0.00     94.26     82.53     94.41     96.34
     53.00    106.00     -9.06     80.99      0.00     93.33     82.53     90.19     96.43
     54.00    108.00    -12.24     77.22      0.00     93.64     82.53     91.82     96.20
     55.00    110.00     -5.43     81.75      0.00     92.85     82.53     86.07     96.08
     56.00    112.00     -5.70     83.39      0.00     93.43     82.53     87.22     96.98
     57.00    114.00     -5.90     83.64      0.00     92.80     82.53     88.93     96.10
     58.00    116.00     -2.58     85.27      0.00     92.67     82.53     81.19     96.02
     59.00    118.00     -7.11     84.60      0.00     93.45     82.53     86.05     96.63
     60.00    120.00     -2.50     85.56      0.00     92.60     82.53     82.97     95.72
     61.00    122.00     -7.20     83.48      0.00     93.26     82.53     87.82     96.23
     62.00    124.00     -7.85     82.86      0.00     93.02     82.53     92.48     95.73
     63.00    126.00     -3.45     85.94      0.00     92.36     82.53     83.58     95.45
     64.00    128.00      9.88     94.45      0.00     93.39     82.53     70.24     94.18
     65.00    130.00     -9.45     83.54      0.00     93.62     82.53     94.61     97.13
     66.00    132.00    -10.33     81.81      0.00     94.37     82.53     95.41     97.27
     67.00    134.00      6.72     93.62      0.00     93.48     82.53     70.94     94.14
     68.00    136.00     -7.79     87.98      0.00     93.56     82.53     95.00     96.72
     69.00    138.00    -10.05     88.18      0.00     94.33     82.53     95.39     96.80
     70.00    140.00     -7.23     88.99      0.00     93.89     82.53     91.64     96.27
     71.00    142.00     -9.70     89.06      0.00     94.30     82.53     94.69     96.63
     72.00    144.00     -8.68     89.92      0.00     94.20     82.53     95.73     96.66
     73.00    146.00    -10.01     90.11      0.00     93.92     82.53     98.41     96.61
     74.00    148.00    -13.87     88.89      0.00     94.12     82.53    103.76     96.95
     75.00    150.00     -1.30     92.62      0.00     94.46     82.53     86.46     96.86
     76.00    152.00    -15.63     88.99      0.00     94.34     82.53    108.20     96.43
     77.00    154.00    -12.85     89.94      0.00     94.25     82.53    101.60     96.75
     78.00    156.00      3.37    102.39      0.00     95.64     82.53     82.76     94.60
     79.00    158.00     -9.78     89.77      0.00     93.83     82.53     96.99     96.97
     80.00    160.00    -13.51     87.09      0.00     94.21     82.53    103.90     96.85
     81.00    162.00    -14.09     87.39      0.00     94.02     82.53    109.97     97.51
